load Latte-XL/2 /root/viewdit/weights/Latte/ffs.pt steps 50 ddim
Using Ema!
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
seed 6 C_T1+SC1.25@20 relL2=0.7855 lpips=0.4001 ffe=20.00
seed 7 B1_T1@10 relL2=0.3941 lpips=0.0780 ffe=10.00
seed 7 C_p1.0_w0.25@10 relL2=0.3657 lpips=0.0634 ffe=10.00
seed 7 C_p1.0_w0.5@10 relL2=0.3461 lpips=0.0610 ffe=10.00
seed 7 C_p1.0_w0.75@10 relL2=0.2441 lpips=0.0528 ffe=10.00
seed 7 C_p1.25_w0.25@10 relL2=0.3348 lpips=0.0583 ffe=10.00
seed 7 C_p1.25_w0.5@10 relL2=0.3287 lpips=0.0637 ffe=10.00
seed 7 C_p1.25_w0.75@10 relL2=0.3373 lpips=0.0933 ffe=10.00
seed 7 C_T1+SC1.25@10 relL2=0.3499 lpips=0.0638 ffe=10.00
seed 7 B1_T1@15 relL2=0.1675 lpips=0.0221 ffe=15.00
seed 7 C_p1.0_w0.25@15 relL2=0.1649 lpips=0.0218 ffe=15.00
seed 7 C_p1.0_w0.5@15 relL2=0.1603 lpips=0.0219 ffe=15.00
seed 7 C_p1.0_w0.75@15 relL2=0.1620 lpips=0.0250 ffe=15.00
seed 7 C_p1.25_w0.25@15 relL2=0.1625 lpips=0.0208 ffe=15.00
seed 7 C_p1.25_w0.5@15 relL2=0.1582 lpips=0.0215 ffe=15.00
seed 7 C_p1.25_w0.75@15 relL2=0.1581 lpips=0.0247 ffe=15.00
seed 7 C_T1+SC1.25@15 relL2=0.1703 lpips=0.0223 ffe=15.00
seed 7 B1_T1@20 relL2=0.0715 lpips=0.0040 ffe=20.00
seed 7 C_p1.0_w0.25@20 relL2=0.0388 lpips=0.0017 ffe=20.00
seed 7 C_p1.0_w0.5@20 relL2=0.0482 lpips=0.0026 ffe=20.00
seed 7 C_p1.0_w0.75@20 relL2=0.0638 lpips=0.0049 ffe=20.00
seed 7 C_p1.25_w0.25@20 relL2=0.0645 lpips=0.0041 ffe=20.00
seed 7 C_p1.25_w0.5@20 relL2=0.0594 lpips=0.0037 ffe=20.00
seed 7 C_p1.25_w0.75@20 relL2=0.0702 lpips=0.0056 ffe=20.00
seed 7 C_T1+SC1.25@20 relL2=0.0766 lpips=0.0056 ffe=20.00
seed 8 B1_T1@10 relL2=0.3390 lpips=0.0588 ffe=10.00
seed 8 C_p1.0_w0.25@10 relL2=0.3234 lpips=0.0516 ffe=10.00
